date,new_cases
2020-03-10,9
2020-03-11,13
2020-03-12,3
2020-03-13,11
2020-03-14,46
2020-03-15,28
2020-03-16,1
2020-03-17,43
2020-03-18,15
2020-03-19,14
2020-03-20,13
2020-03-21,74
2020-03-22,69
2020-03-23,79
2020-03-24,88
2020-03-25,81
2020-03-26,66
2020-03-27,98
2020-03-28,258
2020-03-29,318
2020-03-30,124
2020-03-31,511
2020-04-01,216
2020-04-02,305
2020-04-03,365
2020-04-04,72
2020-04-05,138
2020-04-06,379
2020-04-07,96
2020-04-08,100
2020-04-09,191
2020-04-10,107
2020-04-11,211
2020-04-12,210
2020-04-13,249
2020-04-14,269
2020-04-15,213
2020-04-16,176
2020-04-17,202
2020-04-18,196
2020-04-19,161
2020-04-20,191
2020-04-21,129
2020-04-22,99
2020-04-23,261
2020-04-24,196
2020-04-25,95
2020-04-26,265
2020-04-27,189
2020-04-28,174
2020-04-29,231
2020-04-30,261
2020-05-01,276
2020-05-02,153
2020-05-03,288
2020-05-04,253
2020-05-05,191
2020-05-06,314
2020-05-07,324
2020-05-08,115
2020-05-09,136
2020-05-10,176
2020-05-11,279
2020-05-12,256
2020-05-13,258
2020-05-14,251
2020-05-15,205
2020-05-16,210
2020-05-17,199
2020-05-18,201
2020-05-19,213
2020-05-20,269
2020-05-21,209
2020-05-22,159
2020-05-23,172
2020-05-24,248
2020-05-25,275
2020-05-26,334
2020-05-27,364
2020-05-28,512
2020-05-29,1022
2020-05-30,564
2020-05-31,821
2020-06-01,532
2020-06-02,351
2020-06-03,731
2020-06-04,617
2020-06-05,235
2020-06-06,679
2020-06-07,540
2020-06-08,557
2020-06-09,496
2020-06-10,712
2020-06-11,430
2020-06-12,597
2020-06-13,586
2020-06-14,512
2020-06-15,468
2020-06-16,353
2020-06-17,444
2020-06-18,545
2020-06-19,638
2020-06-20,927
2020-06-21,632
2020-06-22,610
2020-06-23,1110
2020-06-24,455
2020-06-25,746
2020-06-26,981
2020-06-27,717
2020-06-28,624
2020-06-29,947
2020-06-30,1025
2020-07-01,824
2020-07-02,251
2020-07-03,1448
2020-07-04,1326
2020-07-05,2273
2020-07-06,1946
2020-07-07,1448
2020-07-08,2269
2020-07-09,1308
2020-07-10,1149
2020-07-11,1299
2020-07-12,2019
2020-07-13,793
2020-07-14,585
2020-07-15,1239
2020-07-16,2345
2020-07-17,1636
2020-07-18,2183
2020-07-19,2111
2020-07-20,1468
2020-07-21,1879
2020-07-22,1418
2020-07-23,2050
2020-07-24,1967
2020-07-25,1911
2020-07-26,1970
2020-07-27,1593
2020-07-28,1575
2020-07-29,1770
2020-07-30,3767
2020-07-31,3802
2020-08-01,4671
2020-08-02,4751
2020-08-03,3057
2020-08-04,5695
2020-08-05,3294
2020-08-06,3360
2020-08-07,3193
2020-08-08,3998
2020-08-09,2905
2020-08-10,6609
2020-08-11,2780
2020-08-12,4060
2020-08-13,3786
2020-08-14,5859
2020-08-15,4036
2020-08-16,3187
2020-08-17,3111
2020-08-18,4612
2020-08-19,4328
2020-08-20,4067
2020-08-21,4515
2020-08-22,4657
2020-08-23,2234
2020-08-24,4427
2020-08-25,2823
2020-08-26,5018
2020-08-27,3077
2020-08-28,3798
2020-08-29,3451
2020-08-30,4080
2020-08-31,3286
2020-09-01,3318
2020-09-02,2121
2020-09-03,1847
2020-09-04,3531
2020-09-05,2396
2020-09-06,2697
2020-09-07,1321
2020-09-08,3125
2020-09-09,3029
2020-09-10,3682
2020-09-11,3908
2020-09-12,4736
2020-09-13,3238
2020-09-14,4533
2020-09-15,3407
2020-09-16,3377
2020-09-17,3235
2020-09-18,3100
2020-09-19,3640
2020-09-20,3004
2020-09-21,2785
2020-09-22,1561
2020-09-23,2691
2020-09-24,2072
2020-09-25,2493
2020-09-26,2580
2020-09-27,2827
2020-09-28,2946
2020-09-29,1894
2020-09-30,2297
2020-10-01,2288
2020-10-02,2460
2020-10-03,2527
2020-10-04,3045
2020-10-05,2154
2020-10-06,1991
2020-10-07,2674
2020-10-08,2246
2020-10-09,2870
2020-10-10,2171
2020-10-11,2402
2020-10-12,3443
2020-10-13,1926
2020-10-14,1832
2020-10-15,2195
2020-10-16,3037
2020-10-17,2559
2020-10-18,2287
2020-10-19,2546
2020-10-20,1583
2020-10-21,1453
2020-10-22,1592
2020-10-23,1850
2020-10-24,2004
2020-10-25,2156
2020-10-26,1547
2020-10-27,1470
2020-10-28,2001
2020-10-29,1701
2020-10-30,1914
2020-10-31,1740
2020-11-01,2312
2020-11-02,2214
2020-11-03,1715
2020-11-04,949
2020-11-05,1541
2020-11-06,2018
2020-11-07,2092
2020-11-08,2366
2020-11-09,1994
2020-11-10,1299
2020-11-11,1627
2020-11-12,1374
2020-11-13,1827
2020-11-14,1604
2020-11-15,1494
2020-11-16,1680
2020-11-17,1098
2020-11-18,1340
2020-11-19,1285
2020-11-20,1587
2020-11-21,1733
2020-11-22,1925
2020-11-23,1763
2020-11-24,1073
2020-11-25,1159
2020-11-26,1341
2020-11-27,1570
2020-11-28,1843
2020-11-29,2016
2020-11-30,1708
2020-12-01,1259
2020-12-02,1381
2020-12-03,1033
2020-12-04,901
