Category: All categories

Day,home quarantine: (Philippines),manila quarantine: (Philippines),ofw quarantine: (Philippines),pandemic essay: (Philippines),quarantine certificate: (Philippines)
2020-05-19,5,8,0,0,0
2020-05-20,6,8,0,7,0
2020-05-21,8,6,0,7,0
2020-05-22,5,7,0,0,0
2020-05-23,6,5,0,5,0
2020-05-24,7,7,0,5,0
2020-05-25,9,6,0,6,0
2020-05-26,7,10,4,0,0
2020-05-27,8,9,0,8,7
2020-05-28,5,11,0,4,8
2020-05-29,6,10,0,8,6
2020-05-30,0,7,0,0,0
2020-05-31,6,12,0,0,6
2020-06-01,0,11,5,0,0
2020-06-02,7,9,0,0,0
2020-06-03,6,0,0,0,0
2020-06-04,4,6,5,0,0
2020-06-05,5,8,0,6,6
2020-06-06,6,0,0,0,0
2020-06-07,5,0,0,0,0
2020-06-08,6,6,0,0,0
2020-06-09,0,4,0,5,6
2020-06-10,5,9,0,0,5
2020-06-11,7,5,0,0,6
2020-06-12,0,7,0,0,0
2020-06-13,7,0,0,0,5
2020-06-14,5,7,5,0,0
2020-06-15,5,22,0,4,5
2020-06-16,4,9,0,0,0
2020-06-17,0,7,0,0,0
2020-06-18,0,5,0,0,5
2020-06-19,0,8,0,4,5
2020-06-20,5,0,0,0,5
2020-06-21,0,0,0,0,0
2020-06-22,6,4,0,0,0
2020-06-23,5,5,0,0,0
2020-06-24,0,7,0,0,0
2020-06-25,0,5,0,4,5
2020-06-26,0,5,0,0,0
2020-06-27,0,5,0,0,6
2020-06-28,0,7,0,0,0
2020-06-29,5,7,6,0,5
2020-06-30,0,16,0,0,5
2020-07-01,0,11,0,0,5
2020-07-02,0,6,0,0,5
2020-07-03,4,8,0,0,0
2020-07-04,0,5,0,0,0
2020-07-05,0,0,0,0,0
2020-07-06,4,4,0,0,7
2020-07-07,0,6,0,0,0
2020-07-08,0,0,0,0,0
2020-07-09,0,5,0,0,5
2020-07-10,4,0,0,0,5
2020-07-11,0,0,0,0,0
2020-07-12,6,0,0,0,0
2020-07-13,6,4,0,0,4
2020-07-14,6,7,0,0,4
2020-07-15,6,13,6,0,0
2020-07-16,6,10,0,0,5
2020-07-17,8,0,0,0,5
2020-07-18,0,6,0,0,6
2020-07-19,0,0,0,0,0
2020-07-20,7,6,0,0,0
2020-07-21,6,7,0,0,0
2020-07-22,0,5,0,0,0
2020-07-23,6,9,0,0,5
2020-07-24,6,0,0,0,5
2020-07-25,7,8,0,0,0
2020-07-26,6,7,0,0,0
2020-07-27,4,5,0,0,6
2020-07-28,6,8,7,0,5
2020-07-29,6,8,0,0,4
2020-07-30,5,14,0,0,0
2020-07-31,0,25,0,0,0
2020-08-01,8,8,0,0,5
2020-08-02,0,26,0,0,0
2020-08-03,7,23,0,6,8
2020-08-04,5,5,0,0,0
2020-08-05,5,5,0,0,0
2020-08-06,0,9,0,0,4
2020-08-07,7,4,0,0,5
2020-08-08,5,0,0,0,0
2020-08-09,5,0,0,0,5
2020-08-10,0,4,0,0,0
2020-08-11,8,0,0,0,0
2020-08-12,5,4,0,4,0
2020-08-13,6,7,0,5,0
2020-08-14,0,0,4,4,0
2020-08-15,6,9,0,0,0
2020-08-16,0,10,0,0,0
2020-08-17,7,29,0,0,0
2020-08-18,7,13,0,4,0
2020-08-19,4,9,0,4,0
2020-08-20,8,5,0,0,0
2020-08-21,0,5,0,5,0
2020-08-22,5,5,0,0,0
2020-08-23,0,0,0,5,5
2020-08-24,4,4,0,7,0
2020-08-25,4,4,0,10,0
2020-08-26,4,4,0,12,0
2020-08-27,5,4,0,11,0
2020-08-28,5,0,4,12,0
2020-08-29,5,4,0,6,0
2020-08-30,0,0,0,7,0
2020-08-31,5,13,0,6,0
2020-09-01,0,6,0,10,0
2020-09-02,0,6,4,11,0
2020-09-03,5,5,0,10,0
2020-09-04,0,4,0,8,0
2020-09-05,4,0,0,11,0
2020-09-06,0,5,0,5,0
2020-09-07,0,4,0,12,0
2020-09-08,6,4,0,12,0
2020-09-09,9,0,0,12,0
2020-09-10,6,3,0,11,0
2020-09-11,5,0,0,11,0
2020-09-12,0,0,0,7,0
2020-09-13,0,0,0,7,0
2020-09-14,5,0,0,13,0
2020-09-15,7,5,0,10,0
2020-09-16,4,0,0,12,0
2020-09-17,6,5,0,16,0
2020-09-18,0,5,0,12,0
2020-09-19,5,4,0,11,0
2020-09-20,4,0,0,6,0
2020-09-21,4,4,0,8,0
2020-09-22,4,3,0,10,0
2020-09-23,0,4,0,13,0
2020-09-24,4,3,0,15,0
2020-09-25,7,0,0,9,0
2020-09-26,0,4,0,12,0
2020-09-27,5,6,0,10,0
2020-09-28,6,7,0,9,0
2020-09-29,4,8,0,12,0
2020-09-30,3,8,0,13,0
2020-10-01,7,6,0,11,0
2020-10-02,6,6,0,12,0
2020-10-03,6,0,0,13,0
2020-10-04,4,4,0,15,0
2020-10-05,9,3,0,20,0
2020-10-06,9,3,0,26,0
2020-10-07,5,3,0,27,0
2020-10-08,11,3,0,30,0
2020-10-09,7,5,0,24,0
2020-10-10,0,7,0,16,0
2020-10-11,6,4,0,18,0
2020-10-12,8,0,0,20,0
2020-10-13,6,5,0,20,0
2020-10-14,4,0,0,21,0
2020-10-15,6,0,0,21,0
2020-10-16,4,5,0,18,0
2020-10-17,7,5,0,15,0
2020-10-18,6,5,0,18,0
2020-10-19,6,4,0,13,6
2020-10-20,6,0,0,19,9
2020-10-21,6,3,0,20,8
2020-10-22,7,0,0,23,10
2020-10-23,6,5,0,12,10
2020-10-24,5,0,0,14,19
2020-10-25,7,0,0,12,12
2020-10-26,9,5,0,12,9
2020-10-27,6,6,0,15,4
2020-10-28,0,6,0,14,8
2020-10-29,7,0,0,19,4
2020-10-30,6,5,0,14,6
2020-10-31,4,0,0,9,5
2020-11-01,4,0,0,12,6
2020-11-02,5,0,0,11,0
2020-11-03,8,4,0,15,0
2020-11-04,7,0,0,14,5
2020-11-05,5,0,5,16,5
2020-11-06,7,0,0,16,0
2020-11-07,7,0,0,15,0
2020-11-08,6,0,0,12,0
2020-11-09,6,0,0,18,0
2020-11-10,6,0,0,14,0
2020-11-11,0,0,0,9,0
2020-11-12,0,0,0,16,0
2020-11-13,0,0,0,12,0
2020-11-14,6,0,0,9,0
2020-11-15,5,0,0,15,0
2020-11-16,5,7,0,10,0
2020-11-17,4,5,0,10,0
2020-11-18,7,5,0,16,0
2020-11-19,7,4,0,10,0
2020-11-20,5,5,0,9,0
2020-11-21,5,0,4,12,0
2020-11-22,5,5,0,10,0
2020-11-23,6,5,0,15,0
2020-11-24,4,0,0,17,0
2020-11-25,5,3,0,13,0
2020-11-26,4,4,0,18,0
2020-11-27,4,4,0,13,0
2020-11-28,5,0,0,9,0
2020-11-29,5,0,0,11,0
2020-11-30,5,6,0,14,0
2020-12-01,0,0,0,14,0
2020-12-02,7,0,0,18,0
2020-12-03,7,3,0,17,0
2020-12-04,0,7,0,14,0
